FOKONTANY_;COMMUNE_NA
Mahatsara;Andonabe Sud
Androrangabe;Andonabe Sud
Morafeno;Andonabe Sud
Andavaranga I;Andonabe Sud
Andavaranga II;Andonabe Sud
Anivorano;Andonabe Sud
Ambatolahy;Andonabe Sud
Amboangy;Andonabe Sud
Andovolava;Andonabe Sud
Ambodiara;Andonabe Sud
Andonabe Sud;Andonabe Sud
Ambalaherana;Andonabe Sud
Andilambola I;Andondabe
Ampasimbazaha;Andondabe
Ambodiampaly Mahony;Andondabe
Ambalatenina Nord;Andondabe
Analabemazava;Andondabe
Andapa;Andondabe
Ambodiriana;Andondabe
Andondabe;Andondabe
Ambodihazomamy;Andondabe
Tolohofotsy;Andondabe
Ambodivoanio;Andondabe
Ambodimanga;Andondabe
Rokalava;Andondabe
Ambalatenina Sud;Andondabe
Antsiradranobe;Andondabe
Sondrara;Andovoranto
Vavony;Andovoranto
Ambila Lemaitso;Andovoranto
Andavakimena;Andovoranto
Ambodivoara;Andovoranto
Ianakonitra;Andovoranto
Ambatobe;Andovoranto
Manakambahiny;Andovoranto
Manarantsandry;Andovoranto
Manerinerina;Andovoranto
Andovoranto;Andovoranto
Vohitrampasina;Andovoranto
Mahazava;Andrafainkona
Andomboka;Andrafainkona
Ampisarahana;Andrafainkona
Ambodimandresy;Andrafainkona
Andrafainkona;Andrafainkona
Antongodriha II;Andrahanjo
Andrasaha;Andrahanjo
Ambohimanarina;Andrahanjo
Tananambo;Andrahanjo
Ambavala;Andrahanjo
Morarivo Centre;Miandrarivo
Andohafarihy;Miandrarivo
Antsahanitavolo;Miandrarivo
Tsaratanana;Miandrarivo
Morafeno Sud;Miandrarivo
Soamanandrariny;Miarinarivo
Analakely;Miarinavaratra
Tsarahonenana;Miarinavaratra
Ambatomirahavavy;Andravola Vohipeno
Andravola Vohipeno;Andravola Vohipeno
Fihaonana;Andravola Vohipeno
Ambinanibe;Andravola Vohipeno
Ambatoharanana;Andravola Vohipeno
Maromokotra;Andravory
Andravory;Andravory
Ambararatabe;Andravory
Andriampamaky;Ankadinandriana
Miorikampoza;Ankadinandriana
Ankazotsifantatra;Ankazotsifantatra
Ampitabe I;Ankazotsifantatra
Maroariana;Ankazotsifantatra
Tanambao I;Ankazotsifantatra
Misorobe;Ankiabe-Salohy
Antsahalava;Ankiabe-Salohy
Belobaka;Ankiabe-Salohy
Ankiabe Salohy;Ankiabe-Salohy
Bemahetsaka;Ankiabe-Salohy
Ambiabe;Ankiakabe-Fonoko
Andongokely;Ankiakabe-Fonoko
Ankevaheva;Ankiakabe-Fonoko
Ambohimena;Ankiakabe-Fonoko
Sakabera Sikily;Ankilimalinike
Ankatrakatraka;Ankilimalinike
Antapoake;Ankilimalinike
Ankilimivory;Ankilimivory
Votovoatavo;Ankilimivory
